    2Theta, SL-TH 61,
     29.99,     38064,
        30,     35136,
     30.01,     33790,
     30.02,     33954,
     30.03,     35474,
     30.04,     37808,
     30.05,     42214,
     30.06,     47650,
     30.07,     53661,
     30.08,     60223,
     30.09,     67098,
      30.1,     73622,
     30.11,     80536,
     30.12,     86425,
     30.13,     92063,
     30.14,     97126,
     30.15,    105239,
     30.16,    108137,
     30.17,    106437,
     30.18,    106378,
     30.19,    103471,
      30.2,    100547,
     30.21,     95982,
     30.22,     90729,
     30.23,     81209,
     30.24,     73232,
     30.25,     66217,
     30.26,     59133,
     30.27,     52509,
     30.28,     46085,
     30.29,     40021,
      30.3,     34751,
     30.31,     30242,
     30.32,     25773,
     30.33,     22038,
     30.34,     18999,
     30.35,     16743,
     30.36,     15336,
     30.37,     14539,
     30.38,     14325,
     30.39,     14293,
      30.4,     14685,
     30.41,     15278,
     30.42,     15827,
     30.43,     16776,
     30.44,     17768,
     30.45,     18782,
     30.46,     19300,
     30.47,     20048,
     30.48,     20480,
     30.49,     20674,
      30.5,     20749,
     30.51,     20378,
     30.52,     19852,
     30.53,     19078,
     30.54,     18215,
     30.55,     16902,
     30.56,     15548,
     30.57,     14137,
     30.58,     12957,
     30.59,     11582,
      30.6,     10476,
     30.61,      9184,
     30.62,      8066,
     30.63,      7071,
     30.64,      5982,
     30.65,      5240,
     30.66,      4603,
     30.67,      4034,
     30.68,      3494,
     30.69,      3152,
      30.7,      2907,
     30.71,      2744,
     30.72,      2475,
     30.73,      2355,
     30.74,      2232,
     30.75,      2173,
     30.76,      2103,
     30.77,      2101,
     30.78,      2022,
     30.79,      2062,
      30.8,      2001,
     30.81,      1934,
     30.82,      1931,
     30.83,      1902,
     30.84,      1858,
     30.85,      1775,
     30.86,      1744,
     30.87,      1650,
     30.88,      1595,
     30.89,      1558,
      30.9,      1434,
     30.91,      1409,
     30.92,      1296,
     30.93,      1213,
     30.94,      1177,
     30.95,      1079,
     30.96,      1015,
     30.97,       982,
     30.98,       936,
     30.99,       936,
        31,       896,
     31.01,       798,
     31.02,       793,
     31.03,       768,
     31.04,       780,
     31.05,       741,
     31.06,       708,
     31.07,       744,
     31.08,       694,
     31.09,       747,
      31.1,       677,
     31.11,       723,
     31.12,       716,
     31.13,       703,
     31.14,       721,
     31.15,       712,
     31.16,       699,
     31.17,       691,
     31.18,       680,
     31.19,       645,
      31.2,       617,
     31.21,       651,
     31.22,       616,
     31.23,       576,
     31.24,       574,
     31.25,       538,
     31.26,       527,
     31.27,       524,
     31.28,       516,
     31.29,       491,
      31.3,       487,
     31.31,       460,
     31.32,       504,
     31.33,       427,
     31.34,       428,
     31.35,       447,
     31.36,       450,
     31.37,       416,
     31.38,       456,
     31.39,       422,
      31.4,       424,
     31.41,       444,
     31.42,       438,
     31.43,       380,
     31.44,       415,
     31.45,       420,
     31.46,       403,
     31.47,       388,
     31.48,       395,
     31.49,       386,
      31.5,       442,
     31.51,       373,
     31.52,       334,
     31.53,       363,
     31.54,       393,
     31.55,       398,
     31.56,       380,
     31.57,       361,
     31.58,       329,
     31.59,       375,
      31.6,       343,
     31.61,       352,
     31.62,       325,
     31.63,       312,
     31.64,       321,
     31.65,       311,
     31.66,       339,
     31.67,       328,
     31.68,       347,
     31.69,       327,
      31.7,       303,
     31.71,       316,
     31.72,       325,
     31.73,       338,
     31.74,       333,
     31.75,       347,
     31.76,       367,
     31.77,       341,
     31.78,       351,
     31.79,       351,
      31.8,       379,
     31.81,       347,
     31.82,       340,
     31.83,       363,
     31.84,       321,
     31.85,       352,
     31.86,       328,
     31.87,       348,
     31.88,       304,
     31.89,       331,
      31.9,       353,
     31.91,       321,
     31.92,       321,
     31.93,       312,
     31.94,       329,
     31.95,       284,
     31.96,       282,
     31.97,       258,
     31.98,       264,
     31.99,       296,
        32,       253,
     32.01,       275,
     32.02,       269,
     32.03,       271,
     32.04,       277,
     32.05,       272,
     32.06,       247,
     32.07,       292,
     32.08,       278,
     32.09,       249,
      32.1,       250,
     32.11,       281,
     32.12,       274,
     32.13,       266,
     32.14,       256,
     32.15,       236,
     32.16,       258,
     32.17,       268,
     32.18,       270,
     32.19,       262,
      32.2,       272,
     32.21,       247,
     32.22,       243,
     32.23,       292,
     32.24,       245,
     32.25,       228,
     32.26,       206,
     32.27,       229,
     32.28,       257,
     32.29,       238,
      32.3,       249,
     32.31,       264,
     32.32,       256,
     32.33,       262,
     32.34,       220,
     32.35,       258,
     32.36,       229,
     32.37,       260,
     32.38,       245,
     32.39,       257,
      32.4,       238,
     32.41,       241,
     32.42,       248,
     32.43,       260,
     32.44,       233,
     32.45,       240,
     32.46,       253,
     32.47,       232,
     32.48,       237,
     32.49,       260,
      32.5,       245,
     32.51,       255,
     32.52,       261,
     32.53,       262,
     32.54,       210,
     32.55,       195,
     32.56,       227,
     32.57,       255,
     32.58,       249,
     32.59,       243,
      32.6,       221,
     32.61,       231,
     32.62,       224,
     32.63,       213,
     32.64,       216,
     32.65,       201,
     32.66,       206,
     32.67,       200,
     32.68,       209,
     32.69,       247,
      32.7,       208,
     32.71,       187,
     32.72,       221,
     32.73,       231,
     32.74,       220,
     32.75,       224,
     32.76,       234,
     32.77,       213,
     32.78,       201,
     32.79,       204,
      32.8,       207,
     32.81,       227,
     32.82,       218,
     32.83,       199,
     32.84,       214,
     32.85,       230,
     32.86,       224,
     32.87,       209,
     32.88,       203,
     32.89,       210,
      32.9,       194,
     32.91,       214,
     32.92,       225,
     32.93,       212,
     32.94,       199,
     32.95,       239,
     32.96,       189,
     32.97,       199,
     32.98,       195,
     32.99,       184,
        33,       219,
